group,id,rag_acc,rag_parsed_f1,rag_rel_err,rag_text_recall,stem,table,text2sql_acc,text2sql_parsed_f1,text2sql_rel_err,text2sql_text_recall
,V1,,0.20196441588194167,,0.023893935461227717,,entity,,0.5414656771799629,,0.1018031441068766
,V2,,0.1344048463613681,,0.047950515724096844,,entity,,0.16007487882487884,,0.09501011035220455
,V3,,0.18358936237724116,,0.05956498153190866,,entity,,0.4035268869452543,,0.18835705301980152
,V4,,0.24426833189719788,,0.011141229618001413,,entity,,0.20633300939423388,,0.017937656596069617
,V5,,0.10361514302690773,,0.14066666666666666,,entity,,0.32728685976108657,,0.3561666666666667
,V6,,0.1118533905119271,,0.15002380952380953,,entity,,0.30067114598364597,,0.3360952380952381
,V7,,0.01183673469387755,,0.17292013542013543,,entity,,0.03054263565891473,,0.22538752913752913
,V8,,0.10047552447552448,,0.13192857142857142,,entity,,0.12998116988313066,,0.17911904761904762
,V9,,0.08279511038131727,,0.11771428571428572,,entity,,0.22366299221969324,,0.24913095238095237
,V10,,0.0435978835978836,,0.0495,,entity,,0.0685812469317624,,0.08316666666666667
,V11,,0.2383716782593187,,0.19242424242424241,,entity,,0.46396324763671704,,0.36515151515151517
,V12,,0.23165532879818596,,0.21474358974358973,,entity,,0.32167919799498745,,0.30662393162393164
location,V13,0.0,,,,,loc_dir,0.0,,,
location,V14,0.0,,,,,loc_dir,0.0,,,
location,V15,0.02,,,,,loc_dir,0.02,,,
location,V16,0.0,,,,,loc_dir,0.0,,,
location,V17,0.0,,,,,loc_dir,0.01,,,
location,V18,0.0,,,,,loc_dir,0.0,,,
location,V19,0.1,,,,,loc_dir,0.16,,,
location,V20,0.0,,,,,loc_dir,0.0,,,
direction,V21,0.01,,,,,loc_dir,0.36,,,
direction,V22,0.0,,,,,loc_dir,0.04,,,
,V23,0.0,,0.9193765338890266,,,numeric,0.35,,0.617459365585874,
,V24,0.0,,0.987449989240785,,,numeric,0.19,,0.7931189787476597,
,V25,0.03,,0.8980322901188813,,,numeric,0.05,,0.912747144459273,
,V26,0.01,,0.868399624476525,,,numeric,0.32,,0.6017077827533792,
,V27,0.0,,0.9879697210337647,,,numeric,0.15,,0.7978193841427147,
,V28,0.0,,0.9726907586852579,,,numeric,0.04,,0.8507216964785362,
,R1,0.0,,,,elevation+poi,raster,0.85,,,
,R2,0.1,,,,elevation_compare+two_pois,raster,0.15,,,
,R3,0.05,,,,elevation_diff+two_pois,raster,0.45,,,
,R4,0.9,,,,elevation_threshold+poi,raster,0.45,,,
,VR1,0.05,,,,range+name+elevation_condition,raster,0.05,,,
,VR2,0.0,,,,range+loc+elevation_condition,raster,0.0,,,
,VR3,0.7,,,,range+count+elevation_condition,raster,0.1,,,
,VR4,0.1,,,,range+distance+elevation,raster,0.0,,,
,VR11,0.05,,,,elevation_lowest_n_poi+name,raster,0.1,,,
,R5,0.0,,,,slope+poi,raster,0.0,,,
,R6,0.0,,,,aspect+poi,raster,0.0,,,
,R7,0.0,,,,ruggedness+poi,raster,0.0,,,
,R10,0.05,,,,slope+route,raster,0.0,,,
,R11,0.15,,,,slope+compare_route,raster,0.0,,,
,VR6,0.0,,,,intersects_length_max+name+slope,raster,0.0,,,
,VR13,0.0,,,,slope_condition+name,raster,0.0,,,
,VR14,0.05,,,,slope_steepest_n_poi+name,raster,0.0,,,
,VR7,0.0,,,,intersects_area_max+name+max_elevation,raster,0.0,,,
,VR8,0.0,,,,intersects_area_total+area+avg_slope,raster,0.0,,,
,VR9,0.9,,,,elevation_average+name,raster,0.0,,,
,VR12,0.0,,,,elevation_compare_categories+name,raster,0.0,,,
,R8,0.0,,,,nearest_high_terrain+poi,raster,0.0,,,
,R9,0.0,,,,nearest_low_terrain+poi,raster,0.0,,,
,VR5,0.0,,,,knn+distance+slope,raster,0.0,,,
,VR10,0.65,,,,elevation_proximity_zone+name,raster,0.0,,,
