query_type,source_stem,total,correct,accuracy,nonanswer_count
raster_only,TOTAL,380,40,0.1053,191
raster_only,aspect+poi,20,0,0.0,17
raster_only,avg_slope+area,20,0,0.0,18
raster_only,elevation+coverage,20,0,0.0,20
raster_only,elevation+poi,20,0,0.0,9
raster_only,elevation_compare+two_pois,20,2,0.1,0
raster_only,elevation_diff+two_pois,20,1,0.05,19
raster_only,elevation_max+region,20,1,0.05,0
raster_only,elevation_mean+region,20,1,0.05,1
raster_only,elevation_min+region,20,3,0.15,2
raster_only,elevation_range+region,20,2,0.1,1
raster_only,elevation_threshold+poi,20,18,0.9,0
raster_only,max_slope+area,20,1,0.05,15
raster_only,min_slope+area,20,7,0.35,12
raster_only,nearest_high_terrain+poi,20,0,0.0,18
raster_only,nearest_low_terrain+poi,20,0,0.0,9
raster_only,ruggedness+poi,20,0,0.0,8
raster_only,slope+compare_route,20,3,0.15,2
raster_only,slope+poi,20,0,0.0,20
raster_only,slope+route,20,1,0.05,20
raster_vector,TOTAL,140,47,0.3357,33
raster_vector,elevation_average+name,20,18,0.9,0
raster_vector,elevation_compare_categories+name,20,0,0.0,8
raster_vector,elevation_count_threshold+count,20,14,0.7,0
raster_vector,elevation_lowest_n_poi+name,20,1,0.05,12
raster_vector,elevation_proximity_zone+name,20,13,0.65,0
raster_vector,slope_condition+name,20,0,0.0,3
raster_vector,slope_steepest_n_poi+name,20,1,0.05,10
extended,TOTAL,160,17,0.1062,44
extended,intersects_area_max+name+max_elevation,20,0,0.0,0
extended,intersects_area_total+area+avg_slope,20,0,0.0,15
extended,intersects_length_max+name+slope,20,0,0.0,5
extended,knn+distance+slope,20,0,0.0,18
extended,range+count+elevation_condition,20,14,0.7,0
extended,range+distance+elevation,20,2,0.1,3
extended,range+loc+elevation_condition,20,0,0.0,3
extended,range+name+elevation_condition,20,1,0.05,0
OVERALL,TOTAL,680,104,0.1529,268
