TID,type,P_ministral-3:14b-cloud_direct,R_ministral-3:14b-cloud_direct,F1_ministral-3:14b-cloud_direct,P_sonnet4.6_direct,R_sonnet4.6_direct,F1_sonnet4.6_direct,P_gpt4o_direct,R_gpt4o_direct,F1_gpt4o_direct,P_ministral-3:14b-cloud_text2sql,R_ministral-3:14b-cloud_text2sql,F1_ministral-3:14b-cloud_text2sql,P_sonnet4.6_text2sql,R_sonnet4.6_text2sql,F1_sonnet4.6_text2sql,P_gpt4o_text2sql,R_gpt4o_text2sql,F1_gpt4o_text2sql,P_ministral-3:14b-cloud_rag,R_ministral-3:14b-cloud_rag,F1_ministral-3:14b-cloud_rag,P_sonnet4.6_rag,R_sonnet4.6_rag,F1_sonnet4.6_rag,P_gpt4o_rag,R_gpt4o_rag,F1_gpt4o_rag,P_shuffled,R_shuffled,F1_shuffled
T1,range+name,0.3851,0.3863,0.3693,0.4909,0.5077,0.4855,0.4026,0.3973,0.3885,0.4705,0.4732,0.4601,0.8098,0.8388,0.8137,0.747,0.7462,0.7372,0.3124,0.353,0.3191,0.3402,0.3429,0.3305,0.3347,0.3424,0.3293,0.2789,0.2829,0.2616
T2,range:non_spat_filter+name,0.2728,0.2369,0.248,0.3494,0.3324,0.3263,0.2874,0.2578,0.2643,0.3657,0.3417,0.3476,0.8008,0.8028,0.8004,0.6535,0.6338,0.6398,0.2877,0.2655,0.2635,0.2539,0.2497,0.2444,0.237,0.2112,0.2157,0.2584,0.2018,0.2158
T3,range:direction+name,0.2466,0.2616,0.2411,0.2334,0.2825,0.2386,0.2366,0.2676,0.2393,0.2455,0.2745,0.2424,0.6884,0.8274,0.7117,0.4685,0.4832,0.4696,0.1922,0.2058,0.1915,0.207,0.2532,0.2039,0.2431,0.2469,0.239,0.17,0.1362,0.1394
T4,range:towards+name,0.39,0.4974,0.4047,0.3101,0.4217,0.3198,0.3845,0.4815,0.405,0.3597,0.4262,0.3643,0.4361,0.6464,0.4507,0.392,0.473,0.4073,0.3097,0.3873,0.3241,0.261,0.4472,0.2961,0.3098,0.3801,0.3265,0.3266,0.3854,0.3455
T5,knn+name,0.1001,0.1005,0.0957,0.1507,0.161,0.1493,0.1206,0.116,0.1137,0.3041,0.3197,0.3078,0.8421,0.8408,0.8406,0.6551,0.6533,0.6526,0.114,0.1033,0.1038,0.1498,0.1388,0.1377,0.121,0.1098,0.11,0.101,0.0854,0.0882
T6,knn:non_spat_filter+name,0.1402,0.1331,0.1327,0.1506,0.1438,0.1426,0.1785,0.1662,0.1663,0.167,0.1743,0.1667,0.4712,0.4769,0.4724,0.5637,0.5713,0.5642,0.1423,0.1332,0.1347,0.1668,0.1583,0.1591,0.1489,0.1341,0.1376,0.1933,0.2012,0.1931
T7,knn+name+multi_source1,0.0215,0.0177,0.0172,0.0474,0.0409,0.042,0.0404,0.0305,0.0325,0.0406,0.0265,0.0272,0.1944,0.1315,0.1529,0.1208,0.0789,0.0893,0.0233,0.017,0.0179,0.0617,0.0462,0.047,0.0357,0.0303,0.0308,0.0582,0.0402,0.0427
T8,knn+name+multi_source2,0.1195,0.1214,0.1166,0.1127,0.1075,0.103,0.1015,0.0902,0.092,0.1665,0.1678,0.1618,0.6283,0.6156,0.6176,0.1399,0.1365,0.1321,0.0688,0.0624,0.0623,0.1,0.0912,0.0937,0.0773,0.0711,0.0726,0.0498,0.0617,0.0528
T9,knn:direction+name,0.1375,0.1288,0.1279,0.1783,0.1677,0.1682,0.1626,0.1525,0.154,0.1648,0.1545,0.1545,0.8823,0.8785,0.8785,0.2531,0.252,0.2493,0.1245,0.0942,0.1025,0.1238,0.0979,0.1049,0.1427,0.1177,0.1239,0.1476,0.1418,0.1405
T10,knn:towards+name,0.0879,0.0907,0.0866,0.0367,0.0427,0.0379,0.0808,0.0689,0.072,0.093,0.0951,0.0916,0.2714,0.2741,0.2719,0.1589,0.1613,0.1584,0.0451,0.0503,0.0449,0.0877,0.0929,0.086,0.059,0.0619,0.0571,0.0623,0.0658,0.0621
T11,intersects:area_max+name,0.2981,0.2936,0.292,0.3895,0.3808,0.3817,0.4847,0.4921,0.4843,0.4616,0.4514,0.4535,0.6982,0.6848,0.6894,0.5886,0.5909,0.5864,0.3277,0.3328,0.3267,0.3962,0.3977,0.395,0.4823,0.491,0.4825,0.25,0.2569,0.2477
T12,intersects:length_max+name,0.2333,0.2489,0.2331,0.291,0.3248,0.2983,0.3079,0.3355,0.3156,0.3643,0.3739,0.3657,0.6,0.5963,0.5978,0.4311,0.4444,0.433,0.198,0.2211,0.2031,0.3474,0.3814,0.3516,0.3333,0.352,0.3366,0.2317,0.2432,0.2318
