TID,type,R_ministral-3:14b-cloud_direct,F1_ministral-3:14b-cloud_direct,R_sonnet4.6_direct,F1_sonnet4.6_direct,R_gpt4o_direct,F1_gpt4o_direct,R_ministral-3:14b-cloud_text2sql,F1_ministral-3:14b-cloud_text2sql,R_sonnet4.6_text2sql,F1_sonnet4.6_text2sql,R_gpt4o_text2sql,F1_gpt4o_text2sql,R_ministral-3:14b-cloud_rag,F1_ministral-3:14b-cloud_rag,R_sonnet4.6_rag,F1_sonnet4.6_rag,R_gpt4o_rag,F1_gpt4o_rag,R_shuffled,F1_shuffled
T1,range+name,0.0351,0.3693,0.0634,0.4855,0.0354,0.3885,0.0491,0.4601,0.3268,0.8137,0.107,0.7372,0.022,0.3191,0.0427,0.3305,0.0279,0.3293,0.0225,0.2616
T2,range:non_spat_filter+name,0.0918,0.248,0.1714,0.3263,0.1086,0.2643,0.1174,0.3476,0.7241,0.8004,0.2674,0.6398,0.0785,0.2635,0.1156,0.2444,0.0595,0.2157,0.0756,0.2158
T3,range:direction+name,0.0772,0.2411,0.1412,0.2386,0.0809,0.2393,0.0686,0.2424,0.534,0.7117,0.1641,0.4696,0.0431,0.1915,0.0828,0.2039,0.0523,0.239,0.0369,0.1394
T4,range:towards+name,0.0371,0.4047,0.0613,0.3198,0.0235,0.405,0.0323,0.3643,0.2478,0.4507,0.0295,0.4073,0.0192,0.3241,0.0346,0.2961,0.0155,0.3265,0.0187,0.3455
T5,knn+name,0.1188,0.0957,0.1761,0.1493,0.1195,0.1137,0.3276,0.3078,0.7817,0.8406,0.6588,0.6526,0.1048,0.1038,0.1383,0.1377,0.1065,0.11,0.1139,0.0882
T6,knn:non_spat_filter+name,0.1456,0.1327,0.1877,0.1426,0.1709,0.1663,0.1773,0.1667,0.4405,0.4724,0.5738,0.5642,0.1277,0.1347,0.1693,0.1591,0.1274,0.1376,0.1927,0.1931
T7,knn+name+multi_source1,0.0905,0.0172,0.3316,0.042,0.0226,0.0325,0.1246,0.0272,0.2963,0.1529,0.1372,0.0893,0.0803,0.0179,0.1568,0.047,0.0401,0.0308,0.1918,0.0427
T8,knn+name+multi_source2,0.1305,0.1166,0.1915,0.103,0.0969,0.092,0.156,0.1618,0.3044,0.6176,0.141,0.1321,0.0643,0.0623,0.1133,0.0937,0.0612,0.0726,0.0968,0.0528
T9,knn:direction+name,0.1475,0.1279,0.1872,0.1682,0.156,0.154,0.1618,0.1545,0.6582,0.8785,0.2528,0.2493,0.1034,0.1025,0.1324,0.1049,0.1153,0.1239,0.1255,0.1405
T10,knn:towards+name,0.1268,0.0866,0.0748,0.0379,0.0782,0.072,0.1168,0.0916,0.2103,0.2719,0.1632,0.1584,0.0498,0.0449,0.0865,0.086,0.0582,0.0571,0.0687,0.0621
T11,intersects:area_max+name,0.2173,0.292,0.2721,0.3817,0.3258,0.4843,0.334,0.4535,0.356,0.6894,0.4003,0.5864,0.2314,0.3267,0.2628,0.395,0.3177,0.4825,0.0991,0.2477
T12,intersects:length_max+name,0.2083,0.2331,0.2788,0.2983,0.2682,0.3156,0.3248,0.3657,0.3344,0.5978,0.3568,0.433,0.1656,0.2031,0.2425,0.3516,0.2735,0.3366,0.1897,0.2318
